country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,2390,2230,1530,1100,1550,1420,1320,1240,1160,1070,967,1520,1560,1500,1600,1640,1830,1870,2230,2480,2390,2570,2580,2520,2430,2380,2350,2300,2280
Angola,6680,6090,4480,4390,4890,5390,5600,5670,5600,5580,5630,6190,6160,6600,7320,7880,8660,9270,9020,9680,9440,9890,10k,10.1k,9850,9260,8920,8430,8070
Albania,3420,3190,3630,4070,4790,5290,4580,5000,5700,6110,6670,7000,7450,7930,8460,9030,9670,10.2k,10.7k,11.2k,10.2k,10.8k,12k,12.5k,12k,11.9k,12k,11.8k,11.7k
United Arab Emirates,131k,126k,118k,117k,117k,118k,121k,114k,111k,115k,109k,103k,103k,99.9k,90.3k,83.5k,71.8k,62.6k,51.7k,47.7k,48.9k,50.2k,52.7k,55k,57.5k,59.1k,60.4k,60.3k,60.6k
Argentina,16.9k,18.1k,20k,21.1k,22k,22.3k,23k,22.8k,22.1k,21.9k,21.2k,19.4k,19.6k,20.4k,21.5k,22.5k,24k,24.8k,23.1k,25.1k,26k,25.5k,25.9k,25.2k,25.5k,24.7k,25k,24k,23.3k
Armenia,4090,2440,2370,2610,2870,3170,3370,3580,3780,4010,4380,4950,5630,6200,7020,7910,8930,9970,8910,8770,8900,9340,9450,10k,10.6k,10.7k,11.6k,12.9k,13.9k
Australia,79.5k,80.1k,83k,83.5k,83.7k,85.9k,88.6k,90.9k,93.8k,95.2k,95.9k,97.9k,98.7k,101k,100k,100k,101k,102k,103k,103k,103k,106k,108k,110k,110k,112k,113k,114k,114k
Austria,76.9k,77.2k,77.4k,76.5k,78.2k,81.2k,83k,85.5k,87.2k,89.9k,90.7k,91k,91.4k,97.5k,96.6k,98.2k,99.3k,98.8k,95.1k,95.7k,97.4k,97.2k,96.8k,97.4k,97.8k,98.8k,99.9k,100k,101k
Azerbaijan,6370,4770,3610,2840,2460,2490,2640,2930,3150,3510,3830,4160,4550,4910,6190,8270,10.2k,11.2k,12.1k,12.5k,12.1k,12.2k,12.6k,12.7k,12.7k,12k,11.9k,11.9k,12.1k
Burundi,741,746,698,669,615,565,556,582,572,560,556,563,537,543,528,537,535,541,543,552,557,565,576,584,542,520,505,496,488
Belgium,88k,88.2k,88.2k,91.1k,92.2k,93.5k,96.1k,97.6k,97.8k,98.2k,101k,103k,104k,105k,105k,107k,108k,107k,105k,107k,108k,109k,109k,110k,112k,113k,113k,112k,112k
Benin,2170,2160,2200,2160,2200,2230,2280,2300,2360,2420,2470,2510,2510,2540,2500,2520,2600,2650,2640,2630,2670,2720,2830,2910,2870,2880,2950,3050,3150
Burkina Faso,955,938,951,943,974,1060,1100,1160,1220,1210,1270,1300,1370,1410,1510,1570,1600,1660,1680,1800,1890,1980,2070,2130,2130,2180,2230,2290,2340
Bangladesh,1260,1290,1310,1330,1350,1370,1400,1430,1460,1490,1530,1560,1600,1640,1710,1780,1880,1970,2050,2090,2190,2300,2400,2500,2620,2750,2790,2950,3120
Bulgaria,10.7k,10k,10.1k,10.5k,11k,11.9k,10.4k,10.9k,10.5k,11.5k,12.1k,12.7k,13k,13.4k,14.3k,14.6k,14.9k,15.3k,15.3k,16.4k,17.4k,17.6k,17.6k,17.7k,18.1k,18.9k,18.7k,19.2k,19.4k
Bahrain,44.9k,46.3k,50.4k,48.3k,48.3k,49.1k,49.3k,50.1k,50.2k,50.4k,48.5k,46.7k,45.8k,44.9k,43.7k,42.1k,41.1k,39.6k,37.3k,36.4k,36.5k,37.2k,38.9k,40k,40.1k,39.5k,38.6k,36.9k,35.5k
Bahamas,64.1k,61.6k,58.6k,59.5k,58.7k,60.7k,59.7k,60k,63k,64.2k,64.2k,66.1k,65.2k,64k,64.9k,63k,62.7k,60.2k,60.5k,60.3k,59.7k,60k,58.5k,56.2k,54.4k,54.1k,51.5k,51.7k,51.9k
Bosnia and Herzegovina,1960,1900,1950,2280,2890,5660,7750,9120,10.2k,11k,11.6k,12.4k,13.1k,14.1k,15.6k,16.7k,16.8k,16.1k,15.8k,16.5k,17k,17k,17.6k,17.7k,18.6k,18.9k,18.3k,18.6k,18.3k
Belarus,6790,6270,6110,5610,5280,5910,6040,6330,6450,6700,6910,7160,7560,8300,8950,9720,10.4k,11.3k,11.2k,12.1k,12.7k,12.9k,13k,13.2k,12.7k,12.4k,12.7k,12.9k,13.2k
Belize,10.3k,11.4k,11.9k,11.8k,11.7k,11.5k,11.2k,11.2k,11.4k,12k,11.7k,11.9k,12.5k,12.6k,12.4k,12.3k,11.9k,11.8k,11.5k,11.4k,11.3k,11.1k,10.9k,10.9k,10.7k,10.2k,10.1k,9950,9680
Bolivia,3420,3400,3450,3510,3580,3640,3720,3810,3740,3740,3700,3680,3680,3730,3780,3850,4000,4130,4190,4250,4370,4680,4880,4870,5370,5460,5470,5350,5340
Brazil,21k,20.3k,20.5k,21k,21.3k,21.9k,22.1k,21.9k,21.5k,21.8k,21.5k,21.4k,21.3k,21.7k,21.9k,22.2k,23.2k,23.7k,23.6k,25.1k,26k,25.8k,26.2k,26k,25.1k,24.9k,25.2k,25.1k,24.8k
Barbados,34.7k,32.1k,32.6k,32.1k,30.9k,30.4k,31.7k,31.9k,31.3k,32.1k,31.3k,31.5k,32.2k,31.7k,32.6k,34.3k,34.4k,34.8k,33.7k,33.3k,33.1k,33.4k,32.4k,33.4k,33.5k,33.1k,33.3k,33.1k,33.1k
Brunei,91.2k,92.3k,89.3k,88.8k,89.5k,89.2k,85.1k,81.7k,81.3k,80.7k,81k,82.3k,82.8k,81.3k,79.9k,82.4k,81.5k,78.8k,76k,76.7k,78.1k,77.6k,74.8k,72k,71.2k,69.3k,69.9k,67.2k,69.3k
Bhutan,1890,1990,2040,2150,2300,2380,2440,2510,2610,2700,2830,3030,3150,3240,3380,3540,4120,4230,4430,4970,5390,5690,5680,6020,5950,6270,6400,6440,6540
Botswana,14.9k,15.2k,15.4k,15.9k,16.5k,16.9k,17.7k,17.1k,17.8k,17.3k,17.3k,18.4k,19.4k,18.8k,18.6k,19.1k,19.7k,19.9k,17.6k,20.1k,19.6k,19.2k,20.2k,20.8k,20.1k,20.5k,20.5k,20.9k,20.9k
Central African Republic,1210,1100,1070,1090,1140,1060,1090,1120,1130,1080,1100,1120,1040,1080,1070,1100,1130,1130,1210,1260,1310,1370,871,871,907,939,966,985,994
