country,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,81,80.9,80.8,80.7,80.6,80.4,80.4,80.5,80.5,80.5,80.6,80.5,80.5,80.5,80.6,80.7,80.7,80.8,80.8,80.8,80.6,80.4,80.1,79.4,78.7,78,77.3,76.6,76.5,76.4
Angola,80.3,80.3,80.4,80.6,80.5,80.3,80.2,80.1,80,79.8,79.7,79.6,79.4,79.3,79.1,79,79,79,79,79.1,79.1,79.3,79.3,79.4,79.4,79.4,79.4,79.3,79.2,79
Albania,80,82.6,83.1,82.4,81.6,80.3,79.8,81,80.5,79.6,79.1,78.3,77.7,76.7,75.6,74.5,73.6,72.8,72,72.9,71.6,75.8,73.7,70.3,71.9,74.1,74.1,75.7,77.2,77.4
United Arab Emirates,91,91,91.3,91.9,92.5,92.9,92.1,91.6,91.6,91.9,92.3,91.5,91.3,91.6,92.3,93.2,92.4,92.5,93.2,94.1,95.1,95,94.8,94.8,95,95.3,94.6,94.1,94,94.1
Argentina,82.8,82.5,82.2,81.8,81.5,81.2,81.1,81.2,81.2,81.3,81.4,81.5,81.5,81.7,81.9,81.7,81.7,81.3,80.8,80.8,80.5,80.8,80.6,80.4,79.8,79.7,79.7,79.6,79.7,79.5
Armenia,72.4,72.6,72.8,72.8,72.7,72.6,72.2,71.8,71.3,70.9,70.4,70.3,70.1,70.1,70.1,70.3,70.5,70.8,70.9,72,76.4,76.3,76.4,76.5,75.7,75.1,74.7,74.3,73.9,73.7
Australia,85.1,84.2,83.8,83.5,83.6,83.9,83.8,83.2,83,82.6,82.5,82.3,82.3,82,82.1,82.7,82.7,82.9,83,82.5,82.8,82.8,82.4,82.3,82.1,82.7,82.4,82.7,83,83.2
Austria,80.2,80.4,80.6,80.5,80.5,80.7,80.3,79.7,79.8,80.1,79.8,78.9,79.6,79.7,76.2,77.8,78.3,79.4,79.6,79.7,79.9,80,80.3,80.4,79.9,80,80.7,80.8,81.3,81.5
Azerbaijan,82.3,82.6,84.7,87,88.7,89.5,89.5,89.1,88.4,87.7,86.9,84.7,83,81.3,79.2,77.9,76.8,75.9,74.3,72.8,71.5,71.3,71.6,72,72.5,72.8,74,74.4,74.7,74.6
Burundi,90.9,90.4,89.9,89.2,88.5,87.6,86.9,86.1,85.2,84.3,83.4,82.5,81.7,81,80.2,79.6,79,78.6,78.2,77.9,77.6,77.4,77.3,77.1,77,77.4,77.8,78,78.2,78.3
